"","recipient","removal_rate","partners","acts_per_day","transmission_risk_per_act","transmission_risk_per_day","source","infectionTime","sampleTime","cumulative_partners","cumulative_transmissions"
"183",183,5e-04,0,0.0616881161464065,0.0428722899736533,0,78,241,606,0,0
"184",184,5e-04,0,0.431615580034382,0.0450469416062454,0,23,242,607,0,0
"185",185,5e-04,2,0.103537001973018,0.0422562550028925,0.00890057881102102,65,242,607,0,0
"186",186,5e-04,1,0.371178944582555,0.0453576552785139,0.0170819957240171,160,242,607,0,0
"187",187,5e-04,3,1.3450556889534,0.0513439537859982,0.191592937557637,23,243,608,0,0
"188",188,5e-04,1,0.0274092667736113,0.0338452920936158,0.000943291630343124,85,243,608,0,0
"189",189,5e-04,0,0.121467259387527,0.0407249001396796,0,27,244,609,0,0
"190",190,5e-04,0,0.17488796194084,0.041621751845942,0,137,244,609,0,0
"191",191,5e-04,0,0.448039130841322,0.0462667199429035,0,151,245,610,0,0
"192",192,5e-04,1,0.113382305530831,0.040483991912452,0.00467470827274175,172,245,610,0,0
"193",193,5e-04,3,0.374675634304497,0.0376364750706924,0.042204568730898,13,246,611,0,0
"194",194,5e-04,1,0.336806836991075,0.039482828952506,0.0134761043773031,23,246,611,0,0
"195",195,5e-04,4,0.0522845611822454,0.026772671251127,0.00565943207469521,55,246,611,0,0
"196",196,5e-04,1,0.160055217007175,0.0404149657239832,0.00658122124622518,23,247,612,0,0
"197",197,5e-04,0,0.341926564684651,0.0372666414317824,0,40,247,612,0,0
"198",198,5e-04,2,0.373261213848803,0.0480741485351467,0.0361116082395595,187,247,612,0,0
"199",199,5e-04,1,0.386324631503288,0.0530793066321472,0.0208496959251854,27,248,613,0,0
"200",200,5e-04,1,0.73296326823477,0.0443114916014698,0.0326745417779205,58,248,613,0,0
"201",201,5e-04,1,0.208190700864855,0.050558631760454,0.0107431220102077,78,248,613,0,0
"202",202,5e-04,0,0.0441602159655434,0.035288266539325,0,23,249,614,0,0
"203",203,5e-04,0,0.924950871723608,0.0402662482992948,0,29,250,615,0,0
"204",204,5e-04,2,0.105634246626869,0.0389092830108106,0.00834945006936638,40,250,615,0,0
"205",205,5e-04,0,0.296010052027617,0.0401027955640609,0,55,250,615,0,0
"206",206,5e-04,1,0.750766117646735,0.04426407011031,0.0334187387063187,151,250,615,0,0
"207",207,5e-04,0,0.176333610992879,0.0465217178510205,0,187,250,615,0,0
"208",208,5e-04,3,0.199547461559996,0.0418307460459352,0.0252560846044867,23,251,616,0,0
"209",209,5e-04,0,0.0150521494913846,0.0435787560745852,0,90,251,616,0,0
